addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
800505,0.4803843074,0.1601281025,5.8446757406,0.320256205,0.6405124099,8.1665332266,0.9607686149,0,16.5732586069,0.1507916562,0.0502638854,1.834631817,0.1005277708,0.2010555416,2.5634581553,0.3015833124,0,5.2023121387,6,2,73,4,8,102,12,0,207,0.0172270235,0.0057423412,0.0114846823,0.2095954521,0.0229693646,0.2928593988,0.0344540469,0,0.5943323093,3979,16,40.2111083187,348.29,12.49,348.29,11.4243877229,47.8969231408,7.6858148221,0.0872317165
800601,2.1746293245,0,1.8451400329,0.0329489292,0.3294892916,3.7561779242,0.7248764415,0.0329489292,8.8962108731,1.4592084899,0,1.2381162945,0.0221092195,0.2210921954,2.5204510281,0.48640283,0.0221092195,5.969489277,66,0,56,1,10,114,22,1,270,0.3491509284,0,0.0052901656,0.2962492726,0.0529016558,0.6030788764,0.1163836428,0.0052901656,1.4283447072,4523,19,42.0075171346,189.03,30.35,189.03,23.9274189282,56.3855392274,14.3780220928,0.1461284223
800603,0.2284843869,0.0761614623,1.4470677837,0.0761614623,0.0761614623,2.5133282559,0.3808073115,0,4.7981721249,0.1153846154,0.0384615385,0.7307692308,0.0384615385,0.0384615385,1.2692307692,0.1923076923,0,2.4230769231,3,1,19,1,1,33,5,0,63,0.0161742506,0.0053914169,0.0053914169,0.1024369204,0.0053914169,0.1779167565,0.0269570843,0,0.3396592625,2600,12,46.1538461538,185.48,13.13,185.48,14.0176838473,45.1211722326,1.0326739212,0.0113138725
800604,0.5449591281,0,2.8610354223,0.136239782,0.6811989101,5.3133514986,1.4986376022,0,11.0354223433,0.4519774011,0,2.3728813559,0.1129943503,0.5649717514,4.406779661,1.2429378531,0,9.1525423729,4,0,21,1,5,39,11,0,81,0.0447828034,0,0.0111957009,0.2351097179,0.0559785043,0.4366323332,0.1231527094,0,0.9068517689,885,5,56.4971751412,89.32,7.34,89.32,9.908195253,46.6191295788,9.8780455625,0.0957951857
800605,0.0633914422,0.0316957211,0.9508716323,0.0316957211,0.2535657686,1.7115689382,0.6973058637,0,3.7400950872,0.0722804481,0.0361402241,1.0842067221,0.0361402241,0.2891217926,1.9515720997,0.7950849295,0,4.2645464402,2,1,30,1,8,54,22,0,118,0.0086899848,0.0043449924,0.0043449924,0.1303497719,0.0347599392,0.2346295894,0.0955898327,0,0.5127091028,2767,12,43.3682688833,230.15,31.55,230.15,12.0225939605,37.6552162381,5.7130526452,0.0705110702
800606,0.0609384522,0.0304692261,0.9140767824,0,0.4875076173,2.7117611213,0.761730652,0,4.9664838513,0.0454132607,0.0227066303,0.6811989101,0,0.3633060854,2.0208900999,0.5676657584,0,3.7011807448,2,1,30,0,16,89,25,0,163,0.008622548,0.004311274,0,0.1293382194,0.0689803837,0.3837033844,0.1077818495,0,0.702737659,4404,9,20.4359673025,231.95,32.82,231.95,18.9868506144,35.6779591181,15.2419918157,0.2716258296
800607,1.3605442177,0.0377928949,2.1164021164,0,0.3779289494,2.0030234316,0.7936507937,0,6.6893424036,0.8012463833,0.022256844,1.2463832629,0,0.2225684398,1.1796127309,0.4673937236,0,3.9394613844,36,1,56,0,10,53,21,0,177,0.1199200533,0.0033311126,0,0.1865423051,0.0333111259,0.1765489674,0.0699533644,0,0.5896069287,4493,19,42.2880035611,300.2,26.46,300.2,14.9666888741,37.5149225004,4.7730810607,0.0598108528
800610,0.1321702353,0,1.6653449643,0.0528680941,0.5551149881,2.4583663759,0.502246894,0,5.3661115517,0.1798561151,0,2.2661870504,0.071942446,0.7553956835,3.345323741,0.6834532374,0,7.3021582734,5,0,63,2,21,93,19,0,203,0.0201409869,0,0.0080563948,0.253776435,0.084592145,0.3746223565,0.0765357503,0,0.8177240685,2780,15,53.9568345324,248.25,37.83,248.25,11.198388721,31.6738370976,22.2829974347,0.2602221495
800611,0.8779897063,0.0605510142,6.4184075083,0.1211020285,0.1211020285,1.4834998486,0.7568876779,0,9.8395398123,0.4111725507,0.0283567276,3.0058131292,0.0567134553,0.0567134553,0.694739827,0.3544590954,0,4.6079682405,29,2,212,4,4,49,25,0,325,0.0449549675,0.0031003426,0.0062006852,0.3286363143,0.0062006852,0.0759583934,0.0387542823,0,0.5038056705,7053,29,41.1172550688,645.09,33.03,645.09,10.9333581361,42.7139109873,1.5966559186,0.0190460898
800612,0.7603686636,0.069124424,5.4377880184,0.1152073733,0.2995391705,2.7188940092,1.0138248848,0,10.4147465438,0.5173224643,0.0470293149,3.6996394419,0.0783821916,0.2037936981,1.849819721,0.6897632858,0,7.0857501176,33,3,236,5,13,118,44,0,452,0.0866209938,0.0078746358,0.013124393,0.6194713495,0.0341234218,0.3097356747,0.1154946584,0,1.1864451269,6379,32,50.1646026023,380.97,43.4,380.97,16.7441005853,43.2480372517,6.9165653506,0.0740431419
800613,1.3293202909,0,4.1384499624,0,0.4514672686,3.4110860296,1.2791572611,0.0250815149,10.6345623276,0.6998547471,0,2.1787930807,0,0.2376865179,1.7958536907,0.673445134,0.0132048065,5.598837977,53,0,165,0,18,136,51,1,424,0.1221113748,0,0,0.3801580536,0.0414717877,0.3133423957,0.1175033984,0.0023039882,0.9768909983,7573,29,38.2939389938,434.03,39.87,434.03,17.4481026657,46.5996028059,8.3056638121,0.0978362268
800701,0.4988539841,0.0674127006,4.4357556964,0.0943777808,0.1887555615,2.6965080221,0.6201968451,0.0134825401,8.6153431306,0.2917290862,0.0394228495,2.594023496,0.0551919893,0.1103839786,1.5769139793,0.3626902152,0.0078845699,5.038240164,37,5,329,7,14,200,46,1,639,0.0567380237,0.0076673005,0.0107342207,0.5045083727,0.0214684414,0.3066920199,0.0705391646,0.0015334601,0.9798810035,12683,31,24.4421666798,652.12,74.17,652.12,19.4488744403,47.8347228641,23.3925561843,0.3236519492
