addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
100805,1.8372703412,1.1811023622,6.6929133858,1.1811023622,0.2624671916,20.9973753281,1.8372703412,0,33.9895013123,0.1937448104,0.1245502353,0.7057846665,0.1245502353,0.0276778301,2.2142264046,0.1937448104,0,3.5842789925,14,9,51,9,2,160,14,0,259,3.3018867925,2.1226415094,2.1226415094,12.0283018868,0.4716981132,37.7358490566,3.3018867925,0,61.0849056604,7226,41,56.7395516192,4.24,7.62,4.24,1704.2452830189,71.0938314466,14.3542798274,0.1122889771
101001,3.5313714603,0.3498056635,16.5019433648,0.2720710716,1.0049972238,23.1260410883,2.5430316491,0.0666296502,47.3958911716,0.6563535227,0.0650161508,3.0671111157,0.0505681173,0.1867924334,4.298289972,0.4726570966,0.0123840287,8.8091724373,636,63,2972,49,181,4165,458,12,8536,2.7534851502,0.2727508875,0.2121395792,12.8669148844,0.7836176292,18.0318642307,1.9828556585,0.05195255,36.9555805697,96899,700,72.2401675972,230.98,180.1,230.98,419.5125119058,73.2982172333,1.0580496361,0.0072699009
101002,2.3112259546,0.100488085,5.9862187769,0.100488085,0.645994832,5.2971576227,2.7849554981,0,17.2265288544,0.3633081349,0.0157960059,0.9409906352,0.0157960059,0.101545752,0.8326751664,0.4377750197,0,2.7078867201,161,7,417,7,45,369,194,0,1200,0.4781988832,0.0207912558,0.0207912558,1.2385648093,0.1336580729,1.0959961982,0.5762148034,0,3.5642152786,44315,354,79.8826582421,336.68,69.66,336.68,131.6235000594,53.0685380587,26.8141201835,0.2016839331
101102,0.8403361345,0.1200480192,5.2220888355,0,0.2400960384,3.5414165666,1.9807923169,0,11.9447779112,0.0208983296,0.0029854757,0.1298681912,0,0.0059709513,0.088071532,0.0492603484,0,0.2970548283,14,2,87,0,4,59,33,0,199,0.0933955971,0.0133422282,0,0.5803869246,0.0266844563,0.3935957305,0.2201467645,0,1.3275517011,66991,417,62.24716753,149.9,16.66,149.9,446.9046030687,56.6263718156,5.6207957144,0.0472838257
101103,0.9424321562,0.0340638129,5.13228114,0.1589644601,0.272510503,4.0876575451,4.6326785512,0.0113546043,15.2719427728,0.5360718207,0.0193760899,2.919330879,0.0904217529,0.1550087192,2.3251307886,2.6351482271,0.0064586966,8.6869469741,83,3,452,14,24,360,408,1,1345,0.5082669933,0.0183710961,0.085731782,2.7679118187,0.1469687691,2.204531537,2.4984690753,0.0061236987,8.2363747704,15483,86,55.5447910612,163.3,88.07,163.3,94.8132271892,51.9365352703,3.6082557908,0.0335710017
101104,0.8036658442,0.1550934085,8.4243919633,0.126894607,0.5216778287,6.3376806486,1.4874867818,0.0211491012,17.8780401833,0.4810938555,0.0928426739,5.0430452397,0.0759621877,0.3122889939,3.793889264,0.8904456448,0.0126603646,10.7022282242,114,22,1195,18,74,899,211,3,2536,0.3730488563,0.0719918846,0.058902451,3.9104682745,0.2421545208,2.9418501914,0.69046762,0.0098170752,8.2987008737,23696,168,70.8980418636,305.59,141.85,305.59,77.5418043784,55.6797324254,15.2183094382,0.1202289227
101105,0.8841428407,0.103341371,5.5689516592,0.1492708692,0.4248478585,5.9478700195,1.4927086922,0.0344471237,14.605580434,0.2718926554,0.031779661,1.7125706215,0.0459039548,0.1306497175,1.8290960452,0.459039548,0.0105932203,4.4915254237,77,9,485,13,37,518,130,3,1272,0.2979069138,0.0348202886,0.0502959725,1.8764266646,0.1431500754,2.0041010562,0.5029597245,0.0116067629,4.9212674585,28320,105,37.0762711864,258.47,87.09,258.47,109.567841529,59.7384604894,22.6621893029,0.2340779023
101106,1.087325858,0.1019367992,3.4658511723,0.0679578661,0.2718314645,2.5484199796,1.4610941216,0,9.0044172613,0.4015560296,0.0376458778,1.2799598444,0.0250972519,0.1003890074,0.9411469444,0.5395909148,0,3.3253858702,32,3,102,2,8,75,43,0,265,0.1486988848,0.0139405204,0.0092936803,0.4739776952,0.0371747212,0.3485130112,0.1998141264,0,1.2314126394,7969,38,47.6847785168,215.2,29.43,215.2,37.030669145,52.7596834465,5.0749049297,0.0505244872
101203,2.7911324786,0.4540598291,7.4519230769,0.3071581197,0.3605769231,15.2377136752,2.0833333333,0.0667735043,28.7526709402,0.426556728,0.0693920036,1.1388452354,0.0469416495,0.0551054146,2.3287140029,0.31838684,0.0102047064,4.3941465804,209,34,558,23,27,1141,156,5,2153,3.0753384344,0.5002942908,0.3384343732,8.2107121836,0.397292525,16.7892878164,2.2954679223,0.0735726898,31.6804002354,48997,358,73.0656978999,67.96,74.88,67.96,720.968216598,69.9058249826,3.1598729173,0.0221014147
101204,1.206480524,0.3791795932,5.6876938987,0.1723543606,0.2412961048,9.1692519821,1.9648397104,0.0344708721,18.8555670458,0.1144651208,0.0359747523,0.539621284,0.0163521601,0.0228930242,0.8699349184,0.1864146254,0.003270432,1.7889263172,35,11,165,5,7,266,57,1,547,0.7268951194,0.2284527518,0.1038421599,3.4267912773,0.1453790239,5.5244029076,1.1838006231,0.020768432,11.3603322949,30577,270,88.3016646499,48.15,29.01,48.15,635.036344756,61.1435950674,27.1580695825,0.1817258683
