addrcode,subdistrict_th,subdistrict_en,district_code,district_th,district_en,province_code,province_th,province_en,LAT,LONG,Population
104801,ทวีวัฒนา,,1048,ทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,Bangkok,13.758,100.348,22613
104802,ศาลาธรรมสพน์,,1048,ทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,Bangkok,13.783,100.39,55277
104901,บางมด,,1049,ทุ่งครุ,Thung Khu,10,กรุงเทพมหานคร,Bangkok,13.651,100.51,54546
104902,ทุ่งครุ,,1049,ทุ่งครุ,Thung Khu,10,กรุงเทพมหานคร,Bangkok,13.614,100.497,66430
105001,บางบอน,,1050,บางบอน,Bang Bon,10,กรุงเทพมหานคร,Bangkok,13.646,100.37,107136
110101,เทศบาลนครสมุทรปราการ,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.593,100.597,0
110102,สำโรงเหนือ,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.649,100.617,0
110103,บางเมือง,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.601,100.622,0
110104,ท้ายบ้าน,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.556,100.599,0
110105,ท้ายบ้านใหม่,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.572,100.621,0
110108,บางปูใหม่,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.526,100.67,0
110110,แพรกษา,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.564,100.653,0
110111,บางโปรง,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.623,100.565,0
110112,เทศบาลบางปู,Bang Pu,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.51,100.751,0
110113,บางด้วน,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.622,100.581,0
110114,เทศบาลบางเมือง,Bang Mueang Mai,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.622,100.605,0
110115,เทพารักษ์,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.634,100.61,0
110117,แพรกษาใหม่,,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,11,สมุทรปราการ,Samut Prakarn,13.559,100.691,0
