"","Subdistrict_Code","Year","Week","NumberCases"
"744","104003",2014,49,1
"745","101506",2014,49,1
"746","101501",2014,49,1
"747","100805",2014,49,2
"748","103802",2014,49,2
"749","102201",2014,49,1
"750","104002",2014,49,5
"751","102302",2014,49,7
"752","100701",2014,49,3
"753","102501",2014,49,1
"754","102705",2014,49,2
"755","102107",2014,49,6
"756","103102",2014,49,2
"757","103801",2014,49,2
"758","103501",2014,49,2
"759","100111",2014,49,1
"760","102009",2014,49,2
"761","103101",2014,49,4
"762","103201",2014,49,2
"763","100703",2014,49,1
"764","101303",2014,49,1
"765","104101",2014,49,2
"766","101102",2014,49,1
"767","103301",2014,49,1
"768","100801",2014,49,1
"769","103202",2014,49,1
"770","101905",2014,49,1
"771","102504",2014,49,1
"772","103604",2014,49,4
"773","100702",2014,49,2
"774","100204",2014,49,1
"775","104901",2014,49,1
"776","101602",2014,49,1
"777","100608",2014,49,3
"778","102303",2014,49,3
"779","103504",2014,49,2
"780","102209",2014,49,1
"781","102207",2014,49,1
"782","101505",2014,49,2
"783","103001",2014,49,5
"784","102902",2014,49,1
"785","104201",2014,49,1
"786","102801",2014,49,1
"787","100601",2014,49,3
"788","100112",2014,49,1
"789","101203",2014,49,3
"790","103702",2014,49,2
"791","101204",2014,49,3
"792","104001",2014,49,3
"793","101701",2014,49,2
"794","100305",2014,49,1
"795","100302",2014,49,1
"796","101502",2014,49,1
"797","102401",2014,49,1
"798","103303",2014,49,2
"799","101001",2014,49,1
"800","103901",2014,49,1
"801","102803",2014,49,1
"802","100404",2014,49,1
"803","104202",2014,49,1
"804","104302",2014,49,1
"805","103902",2014,49,1
"806","103004",2014,49,1
"807","100110",2014,49,1
"808","101902",2014,49,2
"809","100109",2014,49,2
"810","101601",2014,49,1
"811","100307",2014,49,1
"812","104802",2014,49,1
"813","109999",2014,49,1
"814","103902",2014,50,2
"815","103203",2014,50,2
"816","103103",2014,50,2
"817","102302",2014,50,3
"818","104605",2014,50,1
"819","102402",2014,50,5
"820","104801",2014,50,2
"821","102105",2014,50,8
"822","101903",2014,50,1
"823","101504",2014,50,6
"824","102601",2014,50,7
"825","103801",2014,50,6
"826","103504",2014,50,1
"827","101302",2014,50,2
"828","104902",2014,50,3
"829","100206",2014,50,2
"830","101506",2014,50,1
"831","103202",2014,50,2
"832","103903",2014,50,2
"833","100608",2014,50,3
"834","104302",2014,50,1
"835","103604",2014,50,3
"836","100601",2014,50,5
"837","104002",2014,50,3
"838","104001",2014,50,5
"839","101602",2014,50,2
"840","102107",2014,50,7
"841","103002",2014,50,1
