"","Subdistrict_Code","Year","NumberCases"
"1122","800711",2016,8
"1123","801903",2016,4
"1124","810701",2016,2
"1125","800403",2016,16
"1126","801104",2016,6
"1127","800415",2016,3
"1128","800505",2016,7
"1129","801213",2016,1
"1130","800404",2016,7
"1131","800108",2016,12
"1132","800613",2016,9
"1133","801216",2016,3
"1134","801005",2016,1
"1135","800603",2016,6
"1136","810804",2016,2
"1137","801608",2016,1
"1138","801609",2016,2
"1139","801602",2016,10
"1140","800416",2016,11
"1141","800703",2016,6
"1142","801304",2016,8
"1143","800810",2016,8
"1144","800802",2016,2
"1145","801106",2016,5
"1146","802103",2016,9
"1147","800809",2016,9
"1148","800803",2016,10
"1149","800707",2016,9
"1150","800705",2016,7
"1151","801606",2016,1
"1152","800811",2016,4
"1153","800813",2016,14
"1154","801905",2016,7
"1155","810802",2016,1
"1156","801102",2016,2
"1157","800706",2016,4
"1158","802104",2016,5
"1159","800607",2016,4
"1160","800710",2016,6
"1161","801610",2016,1
"1162","801902",2016,7
"1163","800208",2016,1
"1164","801217",2016,1
"1165","800805",2016,1
"1166","800708",2016,2
"1167","810806",2016,1
"1168","801107",2016,1
"1169","801309",2016,1
"1170","103704",2017,23
"1171","100102",2017,5
"1172","101102",2017,86
"1173","101401",2017,133
"1174","101104",2017,31
"1175","104004",2017,79
"1176","104203",2017,59
"1177","104001",2017,93
"1178","102402",2017,63
"1179","100103",2017,6
"1180","100206",2017,155
"1181","100305",2017,64
"1182","100307",2017,40
"1183","100502",2017,114
"1184","100601",2017,160
"1185","100608",2017,163
"1186","100905",2017,86
"1187","101002",2017,100
"1188","101101",2017,22
"1189","101103",2017,17
"1190","101204",2017,50
"1191","101701",2017,105
"1192","101802",2017,34
"1193","102105",2017,102
"1194","102601",2017,370
"1195","102701",2017,154
"1196","102801",2017,30
"1197","102803",2017,13
"1198","102901",2017,251
"1199","103103",2017,49
"1200","103201",2017,109
"1201","103202",2017,44
"1202","103203",2017,29
"1203","103301",2017,164
"1204","103302",2017,17
"1205","103303",2017,44
"1206","103401",2017,252
"1207","103504",2017,112
"1208","103604",2017,59
"1209","103801",2017,230
"1210","103902",2017,111
"1211","103903",2017,66
"1212","104002",2017,99
"1213","104102",2017,43
"1214","104401",2017,180
"1215","104501",2017,154
"1216","104601",2017,134
"1217","104603",2017,159
"1218","104701",2017,81
"1219","104902",2017,61
"1220","101001",2017,152
"1221","101106",2017,9
"1222","100104",2017,5
"1223","100111",2017,11
"1224","100112",2017,7
"1225","100201",2017,28
"1226","100204",2017,43
"1227","100303",2017,13
"1228","100401",2017,29
"1229","100402",2017,27
"1230","100405",2017,45
"1231","100701",2017,12
"1232","100702",2017,17
"1233","100703",2017,10
"1234","100801",2017,26
"1235","100803",2017,34
"1236","100805",2017,9
"1237","101203",2017,89
"1238","101302",2017,12
"1239","101303",2017,16
"1240","101501",2017,3
