"","Subdistrict_Code","Year","Month","NumberCases"
"544","100305",2014,2,4
"545","103704",2014,2,2
"546","104002",2014,2,9
"547","104902",2014,2,2
"548","102601",2014,2,11
"549","101503",2014,2,3
"550","103504",2014,2,6
"551","100204",2014,2,2
"552","103602",2014,2,2
"553","100302",2014,2,5
"554","103203",2014,2,2
"555","102401",2014,2,3
"556","104301",2014,2,3
"557","104001",2014,2,4
"558","100905",2014,2,2
"559","103201",2014,2,2
"560","103801",2014,2,3
"561","100301",2014,2,1
"562","104603",2014,2,2
"563","103501",2014,2,4
"564","104504",2014,2,2
"565","101602",2014,2,3
"566","102207",2014,2,1
"567","101904",2014,2,2
"568","103004",2014,2,1
"569","103802",2014,2,3
"570","104801",2014,2,1
"571","100508",2014,2,4
"572","101101",2014,2,1
"573","102901",2014,2,5
"574","101803",2014,2,3
"575","102502",2014,2,6
"576","102402",2014,2,4
"577","100601",2014,2,4
"578","101701",2014,2,1
"579","102007",2014,2,2
"580","100404",2014,2,1
"581","100203",2014,2,2
"582","101203",2014,2,2
"583","104701",2014,2,2
"584","102504",2014,2,1
"585","102107",2014,2,4
"586","103003",2014,2,1
"587","100502",2014,2,7
"588","101105",2014,2,1
"589","101502",2014,2,3
"590","100201",2014,2,1
"591","100805",2014,2,2
"592","101204",2014,2,5
"593","103605",2014,2,1
"594","103902",2014,2,3
"595","101002",2014,2,1
"596","100307",2014,2,1
"597","100403",2014,2,1
"598","101103",2014,2,1
"599","104501",2014,2,5
"600","101504",2014,2,1
"601","101802",2014,2,3
"602","102802",2014,2,1
"603","103202",2014,2,2
"604","101104",2014,2,2
"605","104602",2014,2,2
"606","103101",2014,2,1
"607","104202",2014,2,1
"608","102803",2014,2,2
"609","103701",2014,2,1
"610","101704",2014,2,1
"611","103401",2014,2,1
"612","104102",2014,2,1
"613","103703",2014,2,1
"614","101001",2014,2,1
"615","100804",2014,2,1
"616","102503",2014,2,1
"617","100704",2014,2,1
"618","103903",2014,2,1
"619","102801",2014,2,1
"620","104502",2014,3,1
"621","103504",2014,3,4
"622","105001",2014,3,2
"623","104101",2014,3,2
"624","101106",2014,3,1
