addrcode,date,cases
100502,2015-06-01,21
100502,2015-12-01,58
100502,2015-08-01,31
100502,2015-10-01,77
100502,2015-09-01,66
100502,2015-11-01,158
100502,2015-07-01,29
100502,2015-05-01,10
100502,2015-04-01,3
100502,2015-01-01,4
100502,2015-02-01,4
100502,2015-03-01,3
100502,2016-05-01,3
100502,2016-07-01,8
100502,2016-09-01,13
100502,2016-01-01,20
100502,2016-03-01,6
100502,2016-11-01,20
100502,2016-02-01,9
100502,2016-04-01,6
100502,2016-08-01,10
100502,2016-10-01,14
100502,2016-12-01,6
100502,2017-01-01,4
100502,2017-10-01,28
100502,2017-09-01,17
100502,2017-11-01,17
100502,2017-08-01,16
100502,2017-07-01,11
100502,2017-12-01,6
100502,2017-02-01,2
100502,2017-06-01,10
100502,2017-03-01,2
100502,2017-05-01,1
100502,2018-04-01,8
100502,2018-02-01,5
100502,2018-03-01,4
100502,2018-05-01,3
100502,2018-01-01,2
100508,2014-10-01,7
100508,2014-11-01,1
100508,2014-12-01,4
100508,2014-01-01,5
100508,2014-02-01,4
100508,2014-03-01,1
100508,2014-04-01,2
100508,2014-05-01,2
100508,2014-06-01,2
100508,2014-07-01,1
100508,2014-08-01,2
100508,2014-09-01,6
100508,2015-02-01,5
100508,2015-10-01,35
100508,2015-07-01,30
100508,2015-09-01,26
100508,2015-11-01,61
100508,2015-08-01,26
100508,2015-12-01,15
100508,2015-05-01,12
100508,2015-03-01,5
100508,2015-06-01,14
100508,2015-01-01,5
100508,2015-04-01,3
100508,2016-03-01,5
100508,2016-08-01,22
100508,2016-01-01,11
100508,2016-10-01,15
100508,2016-12-01,6
100508,2016-09-01,12
100508,2016-02-01,7
100508,2016-11-01,21
100508,2016-04-01,3
100508,2016-06-01,2
100508,2016-07-01,2
100508,2017-09-01,17
100508,2017-07-01,10
100508,2017-03-01,1
100508,2017-11-01,22
100508,2017-06-01,7
100508,2017-12-01,6
100508,2017-04-01,1
100508,2017-02-01,2
100508,2017-08-01,11
100508,2017-10-01,15
100508,2017-05-01,1
100508,2017-01-01,1
100508,2018-02-01,4
100508,2018-03-01,6
100508,2018-05-01,3
100508,2018-04-01,5
100601,2014-10-01,15
100601,2014-11-01,15
100601,2014-12-01,9
100601,2014-01-01,5
100601,2014-02-01,4
100601,2014-05-01,1
100601,2014-06-01,3
100601,2014-07-01,3
100601,2014-08-01,3
100601,2014-09-01,6
100601,2015-11-01,157
100601,2015-12-01,55
100601,2015-08-01,35
100601,2015-10-01,90
100601,2015-09-01,48
100601,2015-07-01,25
100601,2015-01-01,5
100601,2015-02-01,2
100601,2015-04-01,6
100601,2015-05-01,7
100601,2015-06-01,21
100601,2015-03-01,5
100601,2016-08-01,16
100601,2016-03-01,4
100601,2016-09-01,26
100601,2016-10-01,30
100601,2016-12-01,29
100601,2016-04-01,3
100601,2016-11-01,46
100601,2016-02-01,7
100601,2016-01-01,18
100601,2016-06-01,5
100601,2016-05-01,2
100601,2016-07-01,4
100601,2017-07-01,28
100601,2017-08-01,38
100601,2017-03-01,6
100601,2017-01-01,13
100601,2017-06-01,19
100601,2017-02-01,7
100601,2017-11-01,16
100601,2017-04-01,4
100601,2017-12-01,9
100601,2017-09-01,12
100601,2017-10-01,7
100601,2017-05-01,1
100601,2018-04-01,6
100601,2018-05-01,5
100601,2018-01-01,6
100601,2018-02-01,8
100601,2018-03-01,11
100608,2014-10-01,16
100608,2014-11-01,14
100608,2014-12-01,7
100608,2014-01-01,4
100608,2014-02-01,3
100608,2014-03-01,1
100608,2014-04-01,3
100608,2014-06-01,4
100608,2014-07-01,12
100608,2014-08-01,7
100608,2014-09-01,25
100608,2015-12-01,57
100608,2015-11-01,173
100608,2015-10-01,89
100608,2015-08-01,46
100608,2015-06-01,32
100608,2015-09-01,54
100608,2015-07-01,41
100608,2015-05-01,15
100608,2015-03-01,4
100608,2015-01-01,13
100608,2015-04-01,3
100608,2015-02-01,7
100608,2016-10-01,30
100608,2016-11-01,41
100608,2016-02-01,10
100608,2016-03-01,9
100608,2016-01-01,35
100608,2016-07-01,11
100608,2016-09-01,24
100608,2016-08-01,25
100608,2016-12-01,16
100608,2016-06-01,4
100608,2016-05-01,3
100608,2016-04-01,2
100608,2017-09-01,25
100608,2017-02-01,5
100608,2017-01-01,18
100608,2017-08-01,27
100608,2017-04-01,9
100608,2017-11-01,24
100608,2017-12-01,12
100608,2017-07-01,10
100608,2017-06-01,11
100608,2017-10-01,17
100608,2017-03-01,5
100608,2018-02-01,5
100608,2018-04-01,22
100608,2018-03-01,11
100608,2018-01-01,4
100608,2018-05-01,8
100701,2014-11-01,4
100701,2014-12-01,3
100701,2014-01-01,2
100701,2014-07-01,1
100701,2015-09-01,6
100701,2015-11-01,33
100701,2015-03-01,1
100701,2015-07-01,7
100701,2015-08-01,6
100701,2015-06-01,3
100701,2015-12-01,4
100701,2015-10-01,8
100701,2015-01-01,1
100701,2015-05-01,1
100701,2016-08-01,5
100701,2016-02-01,7
100701,2016-03-01,2
100701,2016-11-01,2
100701,2016-07-01,2
100701,2016-09-01,5
100701,2016-01-01,6
100701,2016-10-01,1
100701,2017-07-01,1
100701,2017-08-01,2
100701,2017-09-01,1
100701,2017-11-01,3
100701,2017-01-01,1
100701,2017-10-01,2
100701,2017-06-01,1
100701,2017-05-01,1
100701,2018-03-01,1
100701,2018-04-01,1
100702,2014-10-01,3
100702,2014-11-01,2
100702,2014-12-01,3
100702,2014-04-01,1
100702,2014-06-01,1
100702,2014-09-01,1
100702,2015-09-01,1
100702,2015-11-01,14
100702,2015-12-01,4
100702,2015-10-01,8
100702,2015-06-01,2
100702,2015-07-01,5
100702,2015-01-01,1
100702,2015-05-01,2
100702,2015-08-01,2
100702,2016-10-01,3
100702,2016-09-01,3
100702,2016-01-01,1
100702,2016-06-01,1
100702,2016-11-01,1
100702,2017-12-01,4
100702,2017-07-01,2
100702,2017-11-01,4
